web-scraper-order,address_raw,lat,lon,id,brand,geometry,closest_sup_geom,distance
1662023707-550,"Maurstrasse 2, 8117 Fällanden, ZH",47.37052536010742,8.639469146728516,569160130,Volg,POINT (8.639469146728516 47.37052536010742),POINT (8.6602514 47.322413),5771.801927199414
1662023727-678,"Zilstr. 7, 8117 Fällanden, ZH",47.37294387817383,8.63650894165039,2857736035,ALDI,POINT (8.63650894165039 47.37294387817383),POINT (8.5918795 47.405948),6147.603555704472
1662023783-1109,"im Haufland 2, 8117 Fällanden, ZH",47.36838912963867,8.644584655761719,569160130,Volg,POINT (8.644584655761719 47.36838912963867),POINT (8.6602514 47.322413),5345.934078959047
1662023686-372,"Zürichstrasse 82, 8118 Pfaffhausen, ZH",47.36402893066406,8.619695663452148,2857736035,ALDI,POINT (8.619695663452148 47.36402893066406),POINT (8.5918795 47.405948),5550.400507227063
1662023745-818,"im Haufland 7, 8117 Fällanden, ZH",47.36782455444336,8.643950462341309,569160130,Volg,POINT (8.643950462341309 47.36782455444336),POINT (8.6602514 47.322413),5310.95301922624
1662023686-375,"Zürichstrasse 82, 8118 Pfaffhausen, ZH",47.36402893066406,8.619695663452148,2857736035,ALDI,POINT (8.619695663452148 47.36402893066406),POINT (8.5918795 47.405948),5550.400507227063
1662023714-588,"Waidstrasse 3, 8307 Effretikon, ZH",47.430694580078125,8.685787200927734,906804973,Volg,POINT (8.685787200927734 47.430694580078125),POINT (8.7171314 47.4351785),3519.9898510092485
1662023733-723,"Rebenstrasse 42, 8307 Effretikon, ZH",47.42553329467773,8.701360702514648,906804973,Volg,POINT (8.701360702514648 47.42553329467773),POINT (8.7171314 47.4351785),2049.1625526466855
1662023733-721,"Rebenstrasse 42, 8307 Effretikon, ZH",47.42553329467773,8.701360702514648,906804973,Volg,POINT (8.701360702514648 47.42553329467773),POINT (8.7171314 47.4351785),2049.1625526466855
1662023764-974,"Am Dorfbach 19, 8308 Illnau, ZH",47.41178131103516,8.721938133239746,906804973,Volg,POINT (8.721938133239746 47.41178131103516),POINT (8.7171314 47.4351785),2626.5366487893984
1662023711-575,"Am Dorfbach 17, 8308 Illnau, ZH",47.4116325378418,8.722024917602539,906804973,Volg,POINT (8.722024917602539 47.4116325378418),POINT (8.7171314 47.4351785),2644.5166388346847
1662023727-675,"Schlimpergstrasse 16, 8307 Effretikon, ZH",47.430213928222656,8.68522834777832,906804973,Volg,POINT (8.68522834777832 47.430213928222656),POINT (8.7171314 47.4351785),3589.1814644141805
1662023717-617,"Lindenstrasse 25, 8307 Effretikon, ZH",47.42894744873047,8.697382926940918,906804973,Volg,POINT (8.697382926940918 47.42894744873047),POINT (8.7171314 47.4351785),2300.252936712998
1662023704-510,"Seemerrütiweg 4, 8483 Kollbrunn, ZH",47.45719146728516,8.770578384399414,457357597,Volg,POINT (8.770578384399414 47.45719146728516),POINT (8.7992573 47.4439104),3507.054668425494
1662023733-722,"Rebenstrasse 42, 8307 Effretikon, ZH",47.42553329467773,8.701360702514648,906804973,Volg,POINT (8.701360702514648 47.42553329467773),POINT (8.7171314 47.4351785),2049.1625526466855
1662023801-1266,"Würglenstrasse 20, 8307 Effretikon, ZH",47.43473815917969,8.690179824829102,906804973,Volg,POINT (8.690179824829102 47.43473815917969),POINT (8.7171314 47.4351785),2997.26922888224
1662023774-1033,"Florastrasse 4, 8307 Effretikon, ZH",47.4268684387207,8.689535140991211,906804973,Volg,POINT (8.689535140991211 47.4268684387207),POINT (8.7171314 47.4351785),3201.621160920823
1662023771-1025,"Vogelsangstrasse 4, 8307 Effretikon, ZH",47.422271728515625,8.684447288513184,366489192,Volg,POINT (8.684447288513184 47.422271728515625),POINT (8.6925652 47.3895254),3710.9001583864742
1662023739-780,"Dürntnerstrasse 43a, 8340 Hinwil, ZH",47.29866790771485,8.841131210327148,338156406,Volg,POINT (8.841131210327148 47.29866790771485),POINT (8.8208789 47.2696707),3901.621886212219
1662023758-921,"Rütibach 11, 8340 Hinwil, ZH",47.29864883422852,8.839847564697266,338156406,Volg,POINT (8.839847564697266 47.29864883422852),POINT (8.8208789 47.2696707),3819.2730919081473
1662023764-978,"Rütibach 11, 8340 Hinwil, ZH",47.29864883422852,8.839847564697266,338156406,Volg,POINT (8.839847564697266 47.29864883422852),POINT (8.8208789 47.2696707),3819.2730919081473
1662023752-886,"Brandstr. 5, 8340 Hinwil, ZH",47.295860290527344,8.84011459350586,338156406,Volg,POINT (8.84011459350586 47.295860290527344),POINT (8.8208789 47.2696707),3585.4852630523233
1662023761-958,"Brandstr. 7, 8340 Hinwil, ZH",47.29587173461914,8.840231895446777,338156406,Volg,POINT (8.840231895446777 47.29587173461914),POINT (8.8208789 47.2696707),3594.2882224555924
1662023686-378,"Badenerstrasse 9, 8107 Buchs ZH, ZH",47.45781326293945,8.436094284057617,427706514,Volg,POINT (8.436094284057617 47.45781326293945),POINT (8.4538601 47.4813558),3256.93209715859
1662023695-449,"Meierwiesenstr. 39, 8107 Buchs ZH, ZH",47.45685195922852,8.44112777709961,427706514,Volg,POINT (8.44112777709961 47.45685195922852),POINT (8.4538601 47.4813558),3044.371093954774
1662023704-526,"Hauptstrasse 1d, 8544 Attikon, ZH",47.53608703613281,8.795804023742676,8261369903,Volg,POINT (8.795804023742676 47.53608703613281),POINT (8.7880083 47.540963),1019.075270865176
1662023695-452,"Hauptstrasse 1e, 8544 Attikon, ZH",47.53627014160156,8.795984268188477,8261369903,Volg,POINT (8.795984268188477 47.53627014160156),POINT (8.7880083 47.540963),1025.9169531337827
1662023704-513,"Breitackerstrasse 31, 8542 Wiesendangen, ZH",47.5235595703125,8.784727096557617,1247707400,Volg,POINT (8.784727096557617 47.5235595703125),POINT (8.790178300000001 47.521026),667.02858866278
1662023807-1303,"Hauptstrasse 4, 8543 Gundetswil, ZH",47.53946304321289,8.821414947509766,2637958553,Volg,POINT (8.821414947509766 47.53946304321289),POINT (8.8226081 47.5397111),135.44335097033542
1662023774-1045,"Breitackerstrasse 34, 8542 Wiesendangen, ZH",47.52371597290039,8.786188125610352,1247707400,Volg,POINT (8.786188125610352 47.52371597290039),POINT (8.790178300000001 47.521026),533.1392835039458
1662023692-422,"8635 Dürnten, ZH",47.27986526489258,8.861824035644531,338156406,Volg,POINT (8.861824035644531 47.27986526489258),POINT (8.8208789 47.2696707),4688.653935556313
1662023771-1026,"Rothausstrasse 13, 8635 Dürnten, ZH",47.27626419067383,8.83108139038086,338156406,Volg,POINT (8.83108139038086 47.27626419067383),POINT (8.8208789 47.2696707),1346.062526184878
1662023711-574,"Baumgarten 4, 8632 Tann, ZH",47.26750564575195,8.850875854492188,338156406,Volg,POINT (8.850875854492188 47.26750564575195),POINT (8.8208789 47.2696707),3343.981319932113
1662023783-1115,"Bergstrasse 7, 8103 Unterengstringen, ZH",47.4116439819336,8.448543548583984,3626567398,ALDI,POINT (8.448543548583984 47.4116439819336),POINT (8.4415788 47.4001072),1486.5825853412623
1662023686-374,"Bergstrasse 5, 8103 Unterengstringen, ZH",47.41147232055664,8.448328971862793,3626567398,ALDI,POINT (8.448328971862793 47.41147232055664),POINT (8.4415788 47.4001072),1458.0745441301092
1662023686-373,"Bergstrasse 7, 8103 Unterengstringen, ZH",47.4116439819336,8.448543548583984,3626567398,ALDI,POINT (8.448543548583984 47.4116439819336),POINT (8.4415788 47.4001072),1486.5825853412623
1662023733-724,"Büelstrasse 30, 8103 Unterengstringen, ZH",47.41432571411133,8.445075988769531,3626567398,ALDI,POINT (8.445075988769531 47.41432571411133),POINT (8.4415788 47.4001072),1611.51296999784
1662023745-825,"Langacherstrasse 16, 8103 Unterengstringen, ZH",47.41263961791992,8.453574180603027,1287601534,ALDI,POINT (8.453574180603027 47.41263961791992),POINT (8.4593802 47.3986111),1672.5623498065268
1662023717-607,"Trottenstrasse 11, 8187 Weiach, ZH",47.555641174316406,8.440509796142578,485804081,Volg,POINT (8.440509796142578 47.555641174316406),POINT (8.4359398 47.5572957),539.7637339017658
1662023704-505,"Stadlerstrasse 4, 8187 Weiach, ZH",47.55731201171875,8.435951232910156,485804081,Volg,POINT (8.435951232910156 47.55731201171875),POINT (8.4359398 47.5572957),2.1988981861323533
1662023774-1052,"Rebhaldenstrasse 71, 8625 Gossau ZH, ZH",47.30525588989258,8.767916679382324,6815640223,Volg,POINT (8.767916679382324 47.30525588989258),POINT (8.811601 47.3325792),5710.539244189333
1662023795-1210,"Im Eich 2, 8625 Gossau ZH, ZH",47.3061752319336,8.76700496673584,6815640223,Volg,POINT (8.76700496673584 47.3061752319336),POINT (8.811601 47.3325792),5745.344037431511
1662023733-744,"Rebhaldenstrasse 71, 8625 Gossau ZH, ZH",47.30525588989258,8.767916679382324,6815640223,Volg,POINT (8.767916679382324 47.30525588989258),POINT (8.811601 47.3325792),5710.539244189333
1662023717-606,"Im Zelgli 12, 8624 Grüt (Gossau ZH), ZH",47.30967712402344,8.781928062438965,6815640223,Volg,POINT (8.781928062438965 47.30967712402344),POINT (8.811601 47.3325792),4149.703761192853
1662023801-1254,"Tannenbergstrasse 58, 8625 Gossau ZH, ZH",47.30460739135742,8.769102096557617,6815640223,Volg,POINT (8.769102096557617 47.30460739135742),POINT (8.811601 47.3325792),5637.381360450505
1662023774-1046,"Rebhaldenstrasse 71, 8625 Gossau ZH, ZH",47.30525588989258,8.767916679382324,6815640223,Volg,POINT (8.767916679382324 47.30525588989258),POINT (8.811601 47.3325792),5710.539244189333
1662023720-642,"Lindenhofstrasse 10A, 8624 Grüt (Gossau ZH), ZH",47.31279373168945,8.784515380859375,6815640223,Volg,POINT (8.784515380859375 47.31279373168945),POINT (8.811601 47.3325792),3714.53875148978
1662023801-1258,"Oberhubstrasse 24, 8125 Zollikerberg, ZH",47.343505859375,8.60700511932373,569160130,Volg,POINT (8.60700511932373 47.343505859375),POINT (8.6602514 47.322413),6358.6089392372
1662023720-636,"Hinter Zünen 11, 8702 Zollikon, ZH",47.34146499633789,8.574190139770508,75749133,ALDI,POINT (8.574190139770508 47.34146499633789),POINT (8.5306007 47.3409666),4847.234368811745
1662023736-757,"Am Brunnenbächli 28, 8125 Zollikerberg, ZH",47.34169006347656,8.607666969299316,569160130,Volg,POINT (8.607666969299316 47.34169006347656),POINT (8.6602514 47.322413),6219.319077486476
1662023771-1022,"Rüterwiesstrasse 7, 8125 Zollikerberg, ZH",47.34381866455078,8.603903770446777,569160130,Volg,POINT (8.603903770446777 47.34381866455078),POINT (8.6602514 47.322413),6692.91492548919
1662023686-367,"Kellersgasse 6, 8545 Rickenbach ZH, ZH",47.551513671875,8.797046661376953,8261369903,Volg,POINT (8.797046661376953 47.551513671875),POINT (8.7880083 47.540963),1534.3598980879206
1662023798-1244,"Hofibachstrasse 3, 8909 Zwillikon, ZH",47.28936767578125,8.441304206848145,456364553,Volg,POINT (8.441304206848145 47.28936767578125),POINT (8.419871 47.318895),4028.4261184236007
1662023795-1217,"Zeughausstr. 29a, 8910 Affoltern am Albis, ZH",47.2719841003418,8.450772285461426,317283183,Volg,POINT (8.450772285461426 47.2719841003418),POINT (8.4636498 47.2439416),3400.461781771351
1662023717-603,"Obere Bahnhofstrasse 21, 8910 Affoltern am Albis, ZH",47.2765007019043,8.448233604431152,317283183,Volg,POINT (8.448233604431152 47.2765007019043),POINT (8.4636498 47.2439416),3970.190481936253
1662023804-1285,"Alte Hedingerstrasse 7, 8910 Affoltern am Albis, ZH",47.28240585327149,8.454839706420898,317283183,Volg,POINT (8.454839706420898 47.28240585327149),POINT (8.4636498 47.2439416),4342.443019435059
1662023745-822,"Centralweg 8, 8910 Affoltern am Albis, ZH",47.278282165527344,8.452200889587402,317283183,Volg,POINT (8.452200889587402 47.278282165527344),POINT (8.4636498 47.2439416),3985.74523191131
1662023774-1037,"Alte Kanzleistrasse 11, 8910 Affoltern am Albis, ZH",47.27546691894531,8.447565078735352,317283183,Volg,POINT (8.447565078735352 47.27546691894531),POINT (8.4636498 47.2439416),3901.461236359057
1662023767-987,"Sonnenbergstrasse 4, 8910 Affoltern am Albis, ZH",47.28150177001953,8.457354545593262,317283183,Volg,POINT (8.457354545593262 47.28150177001953),POINT (8.4636498 47.2439416),4189.936985100811
1662023777-1078,"Zeughausstr. 27a, 8910 Affoltern am Albis, ZH",47.27204132080078,8.450376510620117,317283183,Volg,POINT (8.450376510620117 47.27204132080078),POINT (8.4636498 47.2439416),3424.9057905588475
1662023771-1028,"Bahnhofplatz 5a, 8910 Affoltern am Albis, ZH",47.27505493164063,8.446146965026855,317283183,Volg,POINT (8.446146965026855 47.27505493164063),POINT (8.4636498 47.2439416),3936.7738764735104
1662023793-1193,"Zeughausstr. 29b, 8910 Affoltern am Albis, ZH",47.27188491821289,8.45091724395752,317283183,Volg,POINT (8.45091724395752 47.27188491821289),POINT (8.4636498 47.2439416),3383.7943357146582
